	id	name	credits	difficulty	grades	student
91	14	Cosmology and the Structure of the Universe	3	2.0	4.0	David Wilson
92	67	Classical Mechanics	3	1.0	2.0	Juan Sanchez
93	12	Introduction to Modern Physics	3	1.0	1.0	Michael Davis
94	57	General Physics I – Mechanics	4	4.0	5.0	Adam Baker
95	45	Thermodynamics and Statistical Mechanics	3	4.0	3.0	Gregory Campbell
96	86	Classical Mechanics	3	1.0	2.0	Jeremy White
97	44	Linear Algebra	3	2.0	2.0	Samuel Ramirez
98	42	Introduction to Abstract Algebra	3	5.0	4.0	Brandon Nelson
99	92	Classical Mechanics	3	1.0	3.0	Johnny Clark
100	54	Linear Algebra	3	2.0	3.0	Aaron White
101	20	General Physics II – Electricity and Magnetism	4	5.0	3.0	Matthew Jackson
102	70	Fundamentals of Analysis II	3	1.0	1.0	Gerald Scott
103	89	Calculus for Science and Engineering II	4	3.0	3.0	Eugene Baker
104	87	Introduction to Quantum Mechanics II	3	5.0	5.0	Aaron Lewis
105	16	Fundamentals of Analysis I	3	4.0	5.0	Joseph Taylor
106	14	Fundamentals of Analysis II	3	1.0	3.0	David Wilson
107	28	Introduction to Solid State Physics	3	1.0	2.0	Edward Lewis
108	84	General Physics I – Mechanics	4	4.0	5.0	Steve Torres
109	7	Fundamentals of Analysis II	3	1.0	2.0	Timothy Carter
110	41	Introduction to Abstract Algebra	3	5.0	3.0	Scott Adams
111	69	Calculus for Science and Engineering II	4	3.0	5.0	Harold King
112	82	Classical Mechanics	3	1.0	1.0	Wayne Evans
113	35	Fundamentals of Analysis I	3	4.0	5.0	Nicholas Sanchez
114	27	Calculus for Science and Engineering II	4	3.0	3.0	George Clark
115	54	Calculus for Science and Engineering III	3	1.0	2.0	Aaron White
116	94	Introduction to Abstract Algebra	3	5.0	5.0	Paul Walker
117	47	Physical Optics	3	2.0	3.0	Raymond Roberts
118	67	Introduction to Quantum Mechanics I	3	5.0	4.0	Juan Sanchez
119	67	Calculus for Science and Engineering II	4	3.0	3.0	Juan Sanchez
120	96	Introduction to Quantum Mechanics II	3	5.0	5.0	Carl Hall
121	45	Classical Mechanics	3	1.0	1.0	Gregory Campbell
122	53	Introduction to Quantum Mechanics I	3	5.0	5.0	Tyler Anderson
123	2	General Physics II – Electricity and Magnetism	4	5.0	4.0	Christopher Baker
124	67	Introduction to Quantum Mechanics II	3	5.0	4.0	Juan Sanchez
125	18	Physical Optics	3	2.0	4.0	Charles Moore
126	62	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Carl Walker
127	7	Classical Mechanics	3	1.0	2.0	Timothy Carter
128	59	Elementary Differential Equations	3	2.0	3.0	Zachary Martinez
129	65	Elementary Differential Equations	3	2.0	3.0	Roger Young
130	38	Physical Optics	3	2.0	3.0	Jonathan Scott
131	92	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Johnny Clark
132	71	Classical Mechanics	3	1.0	3.0	Keith Green
133	20	Classical Mechanics	3	1.0	1.0	Matthew Jackson
134	53	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Tyler Anderson
135	63	Introduction to Modern Physics	3	1.0	2.0	Arthur Perez
136	51	Classical Mechanics	3	1.0	3.0	Dennis Turner
137	90	Introduction to Quantum Mechanics II	3	5.0	5.0	Raymond Wilson
138	84	Introduction to Modern Physics	3	1.0	3.0	Steve Torres
139	50	Classical Mechanics	3	1.0	2.0	Jack Evans
140	79	Fundamentals of Analysis II	3	1.0	3.0	Brandon Roberts
141	77	Calculus for Science and Engineering I	4	5.0	5.0	Benjamin Campbell
142	85	Calculus for Science and Engineering II	4	3.0	2.0	Louis Anderson
143	77	Calculus for Science and Engineering II	4	3.0	5.0	Benjamin Campbell
144	6	Introduction to Quantum Mechanics I	3	5.0	5.0	Amanda Anderson
145	29	Calculus for Science and Engineering III	3	1.0	3.0	Ronald Robinson
146	94	Calculus for Science and Engineering II	4	3.0	5.0	Paul Walker
147	26	Introduction to Modern Physics	3	1.0	3.0	Brian Harris
148	0	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Elizabeth White
149	9	Cosmology and the Structure of the Universe	3	2.0	4.0	John Smith
150	88	General Physics II – Electricity and Magnetism	4	5.0	5.0	Randy Nelson
151	76	Fundamentals of Analysis I	3	4.0	5.0	Roy Ramirez
152	97	Calculus for Science and Engineering III	3	1.0	2.0	Howard Young
153	17	Laser Physics	3	4.0	5.0	Thomas Hernandez
154	67	Introduction to Complex Analysis	3	4.0	4.0	Juan Sanchez
155	13	Fundamentals of Analysis I	3	4.0	3.0	William Miller
156	92	Introduction to Modern Physics	3	1.0	3.0	Johnny Clark
157	22	Physical Optics	3	2.0	2.0	Donald White
158	5	Introduction to Quantum Mechanics II	3	5.0	5.0	Andrew White
159	11	General Physics II – Electricity and Magnetism	4	5.0	5.0	Robert Johnson
160	83	Laser Physics	3	4.0	4.0	Billy Turner
161	48	Cosmology and the Structure of the Universe	3	2.0	4.0	Patrick Carter
162	82	Introduction to Quantum Mechanics I	3	5.0	3.0	Wayne Evans
163	61	General Physics I – Mechanics	4	4.0	5.0	Kyle Robinson
164	13	Introduction to Complex Analysis	3	4.0	3.0	William Miller
165	29	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Ronald Robinson
166	60	Introduction to Quantum Mechanics I	3	5.0	5.0	Walter Clark
167	65	Calculus for Science and Engineering II	4	3.0	3.0	Roger Young
168	83	General Physics II – Electricity and Magnetism	4		4.0	Billy Turner
169	56	Linear Algebra	3	2.0	4.0	Douglas Nelson
170	46	Fundamentals of Analysis II	3	1.0	3.0	Frank Mitchell
171	98	Modern Cosmology	3	3.0	5.0	Eugene Allen
172	28	Linear Algebra	3	2.0	3.0	Edward Lewis
173	98	Introduction to Quantum Mechanics II	3	5.0	5.0	Eugene Allen
174	94	General Physics II – Electricity and Magnetism	4	5.0	5.0	Paul Walker
175	81	Introduction to Quantum Mechanics II	3	5.0	4.0	Harry Phillips
176	74	Fundamentals of Analysis I	3	4.0	5.0	Lawrence Nelson
177	22	Elementary Differential Equations	3	2.0	2.0	Donald White
178	62	Cosmology and the Structure of the Universe	3	2.0	3.0	Carl Walker
179	50	Introduction to Complex Analysis	3	4.0	4.0	Jack Evans
180	70	Elementary Differential Equations	3	2.0	2.0	Gerald Scott
181	56	Introduction to Quantum Mechanics II	3	5.0	5.0	Douglas Nelson
182	81	General Physics II – Electricity and Magnetism	4	5.0	4.0	Harry Phillips
183	30	General Physics I – Mechanics	4	4.0	4.0	Jason Walker
184	48	Classical Mechanics	3	1.0	3.0	Patrick Carter
185	22	General Relativity	3	5.0	3.0	Donald White
186	43	Elementary Differential Equations	3	2.0	3.0	Benjamin Hill
187	47	Fundamentals of Analysis II	3	1.0	2.0	Raymond Roberts
188	43	Linear Algebra	3	2.0	3.0	Benjamin Hill
189	18	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Charles Moore
190	27	Thermodynamics and Statistical Mechanics	3	4.0	4.0	George Clark
191	36	General Physics I – Mechanics	4	4.0	5.0	Eric Wright
192	95	Introduction to Modern Physics	3	1.0	2.0	Larry Perez
193	53	Calculus for Science and Engineering I	4	5.0	5.0	Tyler Anderson
194	64	Calculus for Science and Engineering II	4	3.0	4.0	Ryan Hall
195	18	Introduction to Quantum Mechanics II	3	5.0	5.0	Charles Moore
196	72	Elementary Differential Equations	3	2.0	4.0	Samuel Baker
197	54	Calculus for Science and Engineering I	4	5.0	5.0	Aaron White
198	48	Introduction to Modern Physics	3	1.0	3.0	Patrick Carter
199	75	Elementary Differential Equations	3	2.0	2.0	Nicholas Hill
200	81	Introduction to Solid State Physics	3	1.0	2.0	Harry Phillips
201	71	Calculus for Science and Engineering III	3	1.0	3.0	Keith Green
202	34	Calculus for Science and Engineering II	4	3.0	4.0	Gary Allen
203	44	Introduction to Complex Analysis	3	4.0	3.0	Samuel Ramirez
204	52	General Physics I – Mechanics	4	4.0	3.0	Jerry Torres
205	53	Fundamentals of Analysis II	3	1.0	3.0	Tyler Anderson
206	19	Calculus for Science and Engineering II	4	3.0	2.0	Daniel Martin
207	66	General Physics II – Electricity and Magnetism	4	5.0	5.0	Joe Allen
208	88	General Relativity	3	5.0	5.0	Randy Nelson
209	34	Calculus for Science and Engineering III	3	1.0	2.0	Gary Allen
210	73	Classical Mechanics	3	1.0	3.0	Willie Adams
211	23	Classical Mechanics	3	1.0	3.0	Steven Lopez
212	26	Linear Algebra	3	2.0	4.0	Brian Harris
213	23	Introduction to Complex Analysis	3	4.0	5.0	Steven Lopez
214	23	Elementary Differential Equations	3	2.0	4.0	Steven Lopez
215	2	Introduction to Complex Analysis	3	4.0	4.0	Christopher Baker
216	21	Fundamentals of Analysis II	3	1.0	3.0	Mark Thompson
217	13	General Relativity	3	5.0	3.0	William Miller
218	47	General Physics I – Mechanics	4	4.0	5.0	Raymond Roberts
219	65	Linear Algebra	3	2.0	3.0	Roger Young
220	28	Fundamentals of Analysis I	3	4.0	5.0	Edward Lewis
221	11	Linear Algebra	3	2.0	3.0	Robert Johnson
222	69	Calculus for Science and Engineering III	3	1.0	3.0	Harold King
223	73	Calculus for Science and Engineering II	4	3.0	5.0	Willie Adams
224	31	General Physics I – Mechanics	4	4.0	5.0	Jeffrey Perez
225	18	Introduction to Quantum Mechanics I	3	5.0	5.0	Charles Moore
226	88	Fundamentals of Analysis I	3	4.0	5.0	Randy Nelson
227	22	Introduction to Quantum Mechanics I	3	5.0	3.0	Donald White
228	81	Classical Mechanics	3	1.0	2.0	Harry Phillips
229	58	Laser Physics	3	4.0	5.0	Nathan Wilson
230	49	General Relativity	3	5.0	3.0	Alexander Phillips
231	19	Thermodynamics and Statistical Mechanics	3	4.0	3.0	Daniel Martin
232	71	Calculus for Science and Engineering I	4	5.0	5.0	Keith Green
233	50	Introduction to Modern Physics	3	1.0	2.0	Jack Evans
234	42	Calculus for Science and Engineering II	4	3.0	3.0	Brandon Nelson
235	54	Fundamentals of Analysis I	3	4.0	5.0	Aaron White
236	87	Classical Mechanics	3	1.0	3.0	Aaron Lewis
237	54	Introduction to Nuclear and Particle Physics	3	5.0	5.0	Aaron White
238	12	General Relativity	3	5.0	3.0	Michael Davis
239	78	Elementary Differential Equations	3	2.0	4.0	Bruce Mitchell
240	24	Introduction to Abstract Algebra	3	5.0	5.0	Paul Lee
241	40	Introduction to Quantum Mechanics I	3	5.0	4.0	Justin Baker
242	60	Introduction to Solid State Physics	3	1.0	3.0	Walter Clark
243	6	Introduction to Complex Analysis	3	4.0	5.0	Amanda Anderson
244	23	Introduction to Modern Physics	3	1.0	3.0	Steven Lopez
245	24	General Physics I – Mechanics	4	4.0	5.0	Paul Lee
246	35	Calculus for Science and Engineering II	4	3.0	5.0	Nicholas Sanchez
247	76	General Relativity	3	5.0	5.0	Roy Ramirez
248	49	Elementary Differential Equations	3	2.0	2.0	Alexander Phillips
249	82	Linear Algebra	3	2.0	2.0	Wayne Evans
250	31	Introduction to Nuclear and Particle Physics	3	5.0	5.0	Jeffrey Perez
251	44	General Physics I – Mechanics	4	4.0	3.0	Samuel Ramirez
252	95	General Physics II – Electricity and Magnetism	4	5.0	4.0	Larry Perez
253	9	Calculus for Science and Engineering III	3	1.0	3.0	John Smith
254	97	Fundamentals of Analysis II	3	1.0	2.0	Howard Young
255	72	Introduction to Abstract Algebra	3	5.0	5.0	Samuel Baker
256	28	General Physics II – Electricity and Magnetism	4	5.0	5.0	Edward Lewis
257	42	Linear Algebra	3	2.0	3.0	Brandon Nelson
258	1	Introduction to Abstract Algebra	3	5.0	5.0	Jennifer Jones
259	49	Calculus for Science and Engineering II	4	3.0	2.0	Alexander Phillips
260	41	Calculus for Science and Engineering II	4	3.0	2.0	Scott Adams
261	74	Calculus for Science and Engineering I	4	5.0	5.0	Lawrence Nelson
262	62	Introduction to Complex Analysis	3	4.0	5.0	Carl Walker
263	81	Introduction to Modern Physics	3	1.0	2.0	Harry Phillips
264	42	Thermodynamics and Statistical Mechanics	3	4.0	4.0	Brandon Nelson
265	85	Introduction to Quantum Mechanics II	3	5.0	3.0	Louis Anderson
266	78	General Physics II – Electricity and Magnetism	4	5.0	5.0	Bruce Mitchell
267	72	Physical Optics	3	2.0	4.0	Samuel Baker
268	41	General Physics I – Mechanics	4	4.0	3.0	Scott Adams
269	35	Calculus for Science and Engineering III	3	1.0	3.0	Nicholas Sanchez
270	37	Linear Algebra	3	2.0	3.0	Stephen King
271	28	Calculus for Science and Engineering I	4	5.0	5.0	Edward Lewis
272	63	Calculus for Science and Engineering III	3	1.0	2.0	Arthur Perez
273	76	Elementary Differential Equations	3	2.0	4.0	Roy Ramirez
274	66	Elementary Differential Equations	3	2.0	3.0	Joe Allen
275	83	Calculus for Science and Engineering I	4	5.0	4.0	Billy Turner
276	78	Laser Physics	3	4.0	5.0	Bruce Mitchell
277	60	Calculus for Science and Engineering II	4	3.0	5.0	Walter Clark
278	97	Introduction to Quantum Mechanics II	3	5.0	5.0	Howard Young
279	45	Calculus for Science and Engineering I	4	5.0	3.0	Gregory Campbell
280	1	Laser Physics	3	4.0	5.0	Jennifer Jones
281	20	Introduction to Complex Analysis	3	4.0	3.0	Matthew Jackson
282	63	General Physics I – Mechanics	4	4.0	4.0	Arthur Perez
283	5	Fundamentals of Analysis II	3	1.0	2.0	Andrew White
284	86	Introduction to Quantum Mechanics I	3	5.0	4.0	Jeremy White
285	39	General Physics II – Electricity and Magnetism	4	5.0	5.0	Larry Green
286	59	Introduction to Modern Physics	3	1.0	2.0	Zachary Martinez
287	20	Laser Physics	3	4.0	3.0	Matthew Jackson
288	73	Calculus for Science and Engineering III	3	1.0	3.0	Willie Adams
289	63	Calculus for Science and Engineering I	4	5.0	4.0	Arthur Perez
290	77	Introduction to Abstract Algebra	3	5.0	5.0	Benjamin Campbell
291	3	Introduction to Quantum Mechanics I	3	5.0	5.0	Anthony Jones
292	80	Calculus for Science and Engineering I	4	5.0	3.0	Adam Carter
293	54	Introduction to Quantum Mechanics I	3	5.0	5.0	Aaron White
294	35	Calculus for Science and Engineering I	4	5.0	5.0	Nicholas Sanchez
295	71	Physical Optics	3	2.0	4.0	Keith Green
296	50	Modern Cosmology	3	3.0	3.0	Jack Evans
297	19	General Relativity	3	5.0	3.0	Daniel Martin
298	81	Fundamentals of Analysis II	3	1.0	2.0	Harry Phillips
299	80	Fundamentals of Analysis II	3	1.0	1.0	Adam Carter
300	53	General Physics II – Electricity and Magnetism	4	5.0	5.0	Tyler Anderson
301	29	Modern Cosmology	3	3.0	5.0	Ronald Robinson
302	58	Calculus for Science and Engineering II	4	3.0	5.0	Nathan Wilson
303	93	Calculus for Science and Engineering II	4	3.0	5.0	Phillip Robinson
304	43	Thermodynamics and Statistical Mechanics	3	4.0	4.0	Benjamin Hill
305	16	Elementary Differential Equations	3	2.0	3.0	Joseph Taylor
306	84	General Physics II – Electricity and Magnetism	4	5.0	5.0	Steve Torres
307	92	Fundamentals of Analysis II	3	1.0	3.0	Johnny Clark
308	41	Introduction to Modern Physics	3	1.0	1.0	Scott Adams
309	12	Calculus for Science and Engineering I	4	5.0	3.0	Michael Davis
310	60	Laser Physics	3	4.0	5.0	Walter Clark
311	58	Fundamentals of Analysis I	3	4.0	5.0	Nathan Wilson
312	49	Modern Cosmology	3	3.0	2.0	Alexander Phillips
313	75	Fundamentals of Analysis II	3	1.0	1.0	Nicholas Hill
314	52	Introduction to Solid State Physics	3	1.0	1.0	Jerry Torres
315	6	Fundamentals of Analysis II	3	1.0	2.0	Amanda Anderson
316	25	Calculus for Science and Engineering II	4	3.0	5.0	Kevin Gonzalez
317	81	Introduction to Complex Analysis	3	4.0	4.0	Harry Phillips
318	88	Introduction to Complex Analysis	3	4.0	5.0	Randy Nelson
319	43	Fundamentals of Analysis I	3	4.0	4.0	Benjamin Hill
320	69	Calculus for Science and Engineering I	4	5.0	5.0	Harold King
321	3	Introduction to Solid State Physics	3	1.0	2.0	Anthony Jones
322	43	Introduction to Quantum Mechanics I	3		4.0	Benjamin Hill
323	49	Classical Mechanics	3	1.0	1.0	Alexander Phillips
324	47	Introduction to Complex Analysis	3	4.0	5.0	Raymond Roberts
325	25	Introduction to Quantum Mechanics II	3	5.0	5.0	Kevin Gonzalez
326	19	Laser Physics	3	4.0	3.0	Daniel Martin
327	55	Introduction to Complex Analysis	3	4.0	5.0	Henry Lewis
328	37	General Physics II – Electricity and Magnetism	4	5.0	4.0	Stephen King
329	42	General Physics II – Electricity and Magnetism	4	5.0	4.0	Brandon Nelson
330	3	Classical Mechanics	3	1.0	2.0	Anthony Jones
331	56	General Physics II – Electricity and Magnetism	4	5.0	5.0	Douglas Nelson
332	49	Linear Algebra	3	2.0	2.0	Alexander Phillips
333	83	Fundamentals of Analysis I	3	4.0	4.0	Billy Turner
334	22	Introduction to Complex Analysis	3	4.0	3.0	Donald White
335	79	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Brandon Roberts
336	6	Fundamentals of Analysis I	3	4.0	5.0	Amanda Anderson
337	39	Calculus for Science and Engineering II	4	3.0	4.0	Larry Green
338	64	Introduction to Quantum Mechanics II	3	5.0	5.0	Ryan Hall
339	9	Introduction to Quantum Mechanics I	3	5.0	5.0	John Smith
340	61	Fundamentals of Analysis II	3	1.0	3.0	Kyle Robinson
341	64		4	5.0	5.0	Ryan Hall
342	88	Introduction to Modern Physics	3	1.0	3.0	Randy Nelson
343	20	Calculus for Science and Engineering I	4	5.0	3.0	Matthew Jackson
344	67	Calculus for Science and Engineering III	3	1.0	2.0	Juan Sanchez
345	13	Linear Algebra	3	2.0	2.0	William Miller
346	5	Laser Physics	3	4.0	5.0	Andrew White
347	17	Fundamentals of Analysis II	3	1.0	3.0	Thomas Hernandez
348	65	Calculus for Science and Engineering III	3	1.0	2.0	Roger Young
349	79	Calculus for Science and Engineering I	4	5.0	5.0	Brandon Roberts
350	98	General Physics II – Electricity and Magnetism	4	5.0	5.0	Eugene Allen
351	20	Elementary Differential Equations	3	2.0	2.0	Matthew Jackson
352	71	Introduction to Modern Physics	3	1.0	3.0	Keith Green
353	92	Laser Physics	3	4.0	5.0	Johnny Clark
354	80	Calculus for Science and Engineering II	4	3.0	2.0	Adam Carter
355	46	General Physics I – Mechanics	4	4.0	5.0	Frank Mitchell
356	94	Fundamentals of Analysis II	3	1.0	3.0	Paul Walker
357	71	Introduction to Quantum Mechanics II	3	5.0	5.0	Keith Green
358	84	Introduction to Solid State Physics	3	1.0	3.0	Steve Torres
359	17	General Relativity	3	5.0	5.0	Thomas Hernandez
360	34	Elementary Differential Equations	3	2.0	3.0	Gary Allen
361	4	Introduction to Modern Physics	3	1.0	1.0	Jeffrey Thomas
362	59	General Physics II – Electricity and Magnetism	4	5.0	4.0	Zachary Martinez
363	74	Introduction to Quantum Mechanics II	3	5.0	5.0	Lawrence Nelson
364	66	Calculus for Science and Engineering I	4	5.0	5.0	Joe Allen
365	80	Introduction to Abstract Algebra	3	5.0	3.0	Adam Carter
366	60	Linear Algebra	3	2.0	4.0	Walter Clark
367	67	General Physics I – Mechanics	4	4.0	4.0	Juan Sanchez
368	54	General Physics I – Mechanics	4	4.0	5.0	Aaron White
369	78	Cosmology and the Structure of the Universe	3	2.0	4.0	Bruce Mitchell
370	81	Elementary Differential Equations	3	2.0	3.0	Harry Phillips
371	51	Elementary Differential Equations	3	2.0	4.0	Dennis Turner
372	82	Modern Cosmology	3	3.0	2.0	Wayne Evans
373	2	Introduction to Abstract Algebra	3	5.0	4.0	Christopher Baker
374	56	Introduction to Solid State Physics	3	1.0	3.0	Douglas Nelson
375	5	General Physics I – Mechanics	4	4.0	5.0	Andrew White
376	76	Calculus for Science and Engineering III	3	1.0	3.0	Roy Ramirez
377	40	Physical Optics	3	2.0	3.0	Justin Baker
378	42	General Physics I – Mechanics	4	4.0	4.0	Brandon Nelson
379	11	Physical Optics	3	2.0	3.0	Robert Johnson
380	41	Calculus for Science and Engineering III	3	1.0	1.0	Scott Adams
381	39	Physical Optics	3	2.0	3.0	Larry Green
382	83	Introduction to Modern Physics	3	1.0	2.0	Billy Turner
383	63	Calculus for Science and Engineering II	4	3.0	3.0	Arthur Perez
384	27	General Relativity	3	5.0	4.0	George Clark
385	64	Laser Physics	3	4.0	5.0	Ryan Hall
386	71	Fundamentals of Analysis II	3	1.0	3.0	Keith Green
387	89	Introduction to Modern Physics	3	1.0	2.0	Eugene Baker
388	65	Introduction to Solid State Physics	3	1.0	2.0	Roger Young
389	4	Introduction to Solid State Physics	3	1.0	1.0	Jeffrey Thomas
390	19	Introduction to Complex Analysis	3	4.0	3.0	Daniel Martin
391	44	Calculus for Science and Engineering III	3	1.0	1.0	Samuel Ramirez
392	92	Elementary Differential Equations	3	2.0	4.0	Johnny Clark
393	56	Fundamentals of Analysis I	3	4.0	5.0	Douglas Nelson
394	20	Calculus for Science and Engineering II	4	3.0	2.0	Matthew Jackson
395	6	General Physics II – Electricity and Magnetism	4	5.0	5.0	Amanda Anderson
396	51	General Relativity	3	5.0	5.0	Dennis Turner
397	48	General Physics I – Mechanics	4	4.0	5.0	Patrick Carter
398	8	Classical Mechanics	3	1.0	1.0	Sharon Allen
399	82	Introduction to Nuclear and Particle Physics	3	5.0	3.0	Wayne Evans
400	90	General Physics II – Electricity and Magnetism	4	5.0	5.0	Raymond Wilson
401	66	Calculus for Science and Engineering III	3	1.0	2.0	Joe Allen
402	86	Laser Physics	3	4.0	4.0	Jeremy White
